Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,-1.32,-15.26,-34.52,63.18,9.5,-0.31,-20.98,9.27,
3-Year Average,,-0.32,,,-18.19,-3.26,5.37,21.22,-4.81,-4.88,
5-Year Average,,-6.99,-5.5,-3.7,,,-0.44,-0.23,-1.62,8.99,
10-Year Average,,8.47,6.64,3.75,-4.79,-2.86,-3.77,-2.9,-2.67,,
