Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-65.64,10.07,,,,-82.16,60.51,-85.86
3-Year Average,,,206.21,,,,,28.52,,,
5-Year Average,,,-6.56,-33.54,61.12,,,-4.3,-16.05,-9.47,
10-Year Average,,,,,,,,-5.44,-25.31,20.77,
