Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.03,20.74,-16.76,46.85,14.92,17.84,10.39,17.55,-8.01,-9.69,2.65
3-Year Average,37.62,31.43,5.56,13.85,11.99,25.75,14.34,15.21,6.08,-0.79,
5-Year Average,7.75,13.82,21.24,22.65,14.69,14.85,12.81,20.88,10.08,4.9,
10-Year Average,10.42,,6.52,10.1,10.7,11.24,13.32,21.06,16.19,9.69,
