Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,41.07,-23.86,-70.97,154.0,62.95,54.49,16.61,-5.01,,,
3-Year Average,51.6,37.36,-32.19,-17.5,6.31,85.61,43.19,19.61,,-13.53,
5-Year Average,33.8,23.11,-5.09,13.83,5.23,7.17,16.7,47.93,,3.1,
10-Year Average,24.7,17.8,3.07,9.47,16.09,19.74,19.86,18.49,,4.16,
