Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,-45.82,-44.32,-36.56,-71.64,-10.27,-267.02,,,,,
Asset Turnover (Average),2.54,2.62,2.5,2.57,3.34,0.44,,,,,
Return on Assets %,-116.15,-116.14,-91.58,-184.19,-34.3,-117.11,-106.63,-331.05,,-172.16,-63.81
Financial Leverage (Average),,,,,,1.06,1.23,,,1.05,1.07
Return on Equity %,,,,,,,-116.53,,,-191.86,-67.06
Return on Invested Capital %,,,,,,,-116.35,,,-191.86,-65.5
Interest Coverage,,,,,,,,,,,
