Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
SG&A,74.01,57.94,55.99,56.06,60.55,71.12,60.38,60.86,62.34,61.15,60.22
R&D,,,,,,,,,,,
Other,1.94,24.27,22.74,21.34,23.03,35.34,21.48,22.12,26.51,31.86,30.89
Operating Margin,24.05,17.79,21.27,22.6,16.42,-6.47,18.14,17.02,11.15,6.99,8.89
Net Int Inc & Other,-2.56,-3.71,-5.33,-4.98,-9.49,-3.22,-4.49,-3.39,-2.27,-2.68,-3.29
EBT Margin,21.49,14.08,15.94,17.62,6.93,-9.68,13.65,13.62,8.88,4.31,5.6
