Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,17.32,12.85,0.82,-2.1,-3.44,-1.05,75.91,107.21
3-Year Average,,,,,,10.11,3.66,-1.59,-2.2,18.9,
5-Year Average,,,,,,,,4.76,1.26,10.66,
10-Year Average,,,,,,,,,,,
