Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,13.75,-19.78,58.22,-19.05,29.41,-48.35,68.0,5.71,18.92,
3-Year Average,22.05,-8.3,,13.02,0.91,18.35,-18.51,3.94,-2.83,28.3,
5-Year Average,10.99,6.63,10.66,-0.43,,8.63,-7.24,7.54,-0.79,7.14,
10-Year Average,,68.27,11.54,16.31,8.46,9.8,-0.54,9.09,-0.61,,
