Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income CAD Mil,,,0.0,-1.0,-1.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,,,0.0,-1.0,-1.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
Earnings Per Share CAD,,,0.38,-0.46,-0.38,-0.22,-0.04,-0.04,,-0.01,
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Book Value Per Share * CAD,,,,0.49,-0.07,-0.2,-0.24,-0.17,-0.2,-0.19,-0.2
Operating Cash Flow CAD Mil,,,0.0,0.0,-0.0,-1.0,-0.0,-0.0,0.0,0.0,-0.0
Cap Spending CAD Mil,,,-0.0,-0.0,,,,,,,
Free Cash Flow CAD Mil,,,0.0,-0.0,-0.0,-1.0,-0.0,-0.0,0.0,0.0,-0.0
Free Cash Flow Per Share * CAD,,,,-0.25,-0.2,-0.26,-0.02,,,,
Working Capital CAD Mil,,,0.0,-0.0,0.0,-0.0,-1.0,-0.0,-1.0,-1.0,
