Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.17,-14.89,-5.5,11.38,-1.66,45.41,20.6,20.94,27.11,7.44,-18.38
3-Year Average,20.0,6.84,-3.37,-3.6,1.15,16.78,19.92,28.48,22.84,18.2,
5-Year Average,41.11,12.1,6.8,5.12,-0.24,5.08,12.66,18.36,21.53,23.7,
10-Year Average,12.1,9.8,7.7,45.35,9.44,21.77,12.38,12.43,13.03,11.09,
