Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,80.9,81.21,82.24,81.78,83.61,82.15,81.7,82.07,81.49,99.6,95.73
Gross Margin,19.1,18.79,17.76,18.22,16.39,17.85,18.3,17.93,18.51,0.4,4.27
SG&A,,,,,5.42,5.37,5.38,5.29,5.54,4.7,4.7
R&D,,,,,,,,,,,
Other,8.53,7.57,7.24,7.16,0.86,,,-1.1,,0.98,1.34
Operating Margin,12.76,12.95,12.13,12.57,10.12,12.48,12.93,13.75,12.97,-5.28,-1.77
Net Int Inc & Other,-1.08,-1.63,-1.03,-0.45,-0.14,-0.35,-0.38,-0.38,-0.3,-0.28,-0.31
EBT Margin,11.68,11.32,11.09,12.13,9.98,12.12,12.54,13.37,12.67,-5.56,-2.07
