Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.27,8.55,10.76,9.49,9.44,12.93,5.24,7.93,8.14,7.76,7.85
3-Year Average,12.11,9.47,8.85,9.6,9.89,10.61,9.16,8.65,7.09,7.94,
5-Year Average,11.09,10.59,11.12,9.73,9.1,10.22,9.54,8.98,8.7,8.37,
10-Year Average,11.63,11.51,11.27,11.25,11.17,10.66,10.07,10.04,9.22,8.73,
