Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-288.0,,,,,306.0,,,,
Free Cash Flow Growth % YOY,,,,,,,-946.0,,,,
Cap Ex as a % of Sales,7.22,7.2,8.3,8.53,10.45,8.02,9.41,9.45,9.22,9.54,9.96
Free Cash Flow/Sales %,17.87,12.79,18.5,13.13,24.88,12.88,11.11,12.16,29.79,20.89,22.94
Free Cash Flow/Net Income,0.86,0.69,0.81,0.72,1.55,0.73,0.62,0.65,1.44,1.0,1.07
