Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,63.49,63.05,62.17,61.76,61.82,63.74,63.51,63.6,63.87,63.92,63.84
Gross Margin,36.51,36.95,37.83,38.24,38.18,36.26,36.49,36.4,36.13,36.08,36.16
SG&A,22.81,24.27,23.0,22.78,22.56,22.13,22.66,22.87,23.18,23.73,23.83
R&D,,,,,,,,,,,
Other,2.74,3.3,4.01,4.08,4.14,4.32,4.67,4.66,4.86,6.02,5.19
Operating Margin,10.95,9.37,10.82,11.38,11.48,9.8,9.15,8.88,8.09,6.33,7.14
Net Int Inc & Other,-0.38,-0.68,-1.75,-1.65,-1.59,-1.71,-1.78,-1.79,-2.58,-1.65,-1.62
EBT Margin,10.57,8.69,9.07,9.72,9.89,8.1,7.38,7.09,5.5,4.68,5.52
