Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,121.01,-10.63,-72.67,110.39,60.74,-50.66,,,-11.0,65.55,10.22
3-Year Average,,7.8,-18.57,-19.9,-2.58,18.61,,-16.4,1.77,,
5-Year Average,,,,-6.35,12.8,-16.43,,14.59,-3.52,-2.95,
10-Year Average,,,,,,,,,-4.94,4.63,
