Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,7.31,7.58,7.85,6.25,6.2,5.77,6.91
Free Cash Flow/Sales %,,,,,41.96,27.44,48.64,21.67,19.28,22.59,24.27
Free Cash Flow/Net Income,,,,,4.17,2.09,-0.67,1.25,1.11,1.14,1.07
