Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.88,45.71,-5.02,-39.42,-51.45,-44.88,-2.0,265.01,,,-50.2
3-Year Average,71.13,108.71,14.3,-5.7,-34.63,-45.47,-35.99,25.39,,15.39,
5-Year Average,,-6.09,47.31,39.23,-15.18,-25.84,-31.49,-10.33,,-3.66,
10-Year Average,56.14,44.57,34.73,8.6,-1.18,,-19.79,14.93,,-9.6,
