Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,280.34,31.99,,76.16,682.47,449.53,,,,242.48,242.48
Free Cash Flow/Sales %,,-542.8,,,,,,,,-190.34,-190.34
Free Cash Flow/Net Income,0.45,3.21,1.5,2.55,1.97,0.89,4.13,1.27,2.59,13.16,13.16
