Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,26.6,-24.79,-35.24,21.8,52.25,-2.96,28.54,13.99,6.38,-13.4,16.0
3-Year Average,,20.77,-14.88,-15.97,6.3,21.63,23.83,12.45,15.95,1.65,
5-Year Average,33.0,40.38,,6.8,2.72,-2.6,8.42,21.4,18.15,5.55,
10-Year Average,12.46,6.68,-0.53,-2.95,6.59,13.82,23.37,,12.33,4.12,
