Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,124.61,96.75,82.44,83.13,80.21,77.54,78.11,78.86,78.16,78.37,78.37
Gross Margin,-24.61,3.25,17.56,16.87,19.79,22.46,21.89,21.14,21.84,21.63,21.63
SG&A,13.42,16.43,13.76,15.3,14.11,12.24,12.03,10.96,10.86,10.44,10.44
R&D,,,,,,,,,,,
Other,1.68,2.04,1.54,0.08,,0.08,,,,,
Operating Margin,-39.72,-15.22,2.26,1.5,5.68,10.14,9.86,10.18,10.98,11.19,11.19
Net Int Inc & Other,0.12,,,-1.16,-0.1,0.37,0.29,0.19,0.16,0.18,0.18
EBT Margin,-39.6,-15.22,2.26,0.33,5.58,10.51,10.15,10.38,11.13,11.37,11.37
