Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,93.9,94.01,93.76,92.81,92.21,91.51,91.23,90.67,90.58,90.3,90.25
Gross Margin,6.1,5.99,6.24,7.19,7.79,8.49,8.77,9.33,9.42,9.7,9.75
SG&A,1.07,0.99,0.96,0.91,5.33,5.81,5.86,6.03,5.98,6.2,6.48
R&D,,,,,,,,,,,
Other,3.98,3.75,3.65,2.3,,,,,,,
Operating Margin,1.05,1.25,1.64,3.97,2.46,2.68,2.9,3.3,3.44,3.5,3.27
Net Int Inc & Other,1.19,1.25,0.36,0.49,0.62,0.73,0.58,0.42,0.48,0.47,0.42
EBT Margin,2.23,2.49,2.0,4.47,3.08,3.41,3.49,3.73,3.92,3.97,3.68
