Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.9,,,17.11,-14.24,-5.96,14.58,-48.97,0.75,13.67,
3-Year Average,17.72,,17.58,19.74,,-1.88,-2.6,-18.08,-16.17,-16.4,
5-Year Average,1.75,,19.05,20.69,10.3,6.72,,-11.2,-13.83,-8.84,
10-Year Average,,,4.75,5.19,4.57,4.21,6.23,2.82,1.98,0.28,
