Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,13.57,2.96,
Net Margin %,-252.27,,,-18.75,-197.49,-14.92,-23.43,-9.48,0.87,9.43,-10.9
Asset Turnover (Average),0.11,0.02,0.02,0.28,0.23,0.9,0.74,0.7,0.82,0.84,0.72
Return on Assets %,-27.61,-70.43,-44.85,-5.3,-45.58,-13.44,-17.32,-6.64,0.71,7.88,-7.89
Financial Leverage (Average),,,,,,,,,5.89,3.91,1.35
Return on Equity %,,,,,,,,,14.59,35.29,-14.54
Return on Invested Capital %,,,,,,,,,6.86,14.88,-10.74
Interest Coverage,,,-4.35,0.32,-3.27,0.04,-1.14,-0.04,1.17,3.77,-8.66
