Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,107.96,-56.43,13.53,31.16,18.17,33.97,0.13,-39.72,242.41,-70.1,
3-Year Average,73.92,10.41,0.95,-13.43,20.73,27.58,16.6,-6.84,27.38,-14.86,
5-Year Average,113.66,7.91,21.08,14.92,9.78,0.54,18.74,4.62,26.75,-3.71,
10-Year Average,19.46,9.9,,32.99,24.96,46.56,13.2,12.55,20.69,2.81,
