Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0
Earnings Per Share AUD,,,,,,-0.01,,-0.01,-0.01,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,59.0,93.0,93.0,91.0,128.0,225.0,225.0
Book Value Per Share * AUD,,,,,,0.02,0.01,0.01,,,0.01
Operating Cash Flow AUD Mil,,,,,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,,,,,-0.0,-1.0,,-0.0,,-0.0,-0.0
Free Cash Flow AUD Mil,,,,,-0.0,-2.0,-0.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,,,,,,,-0.02,-0.01,-0.01,-0.01,
Working Capital AUD Mil,,,,,2.0,1.0,1.0,1.0,1.0,2.0,
