Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,493.33,-1.12,-7.95,-11.11,-13.89,132.26,29.86,-27.81,17.78,-20.75,17.73
3-Year Average,,52.12,75.44,-6.82,-11.02,21.14,37.46,29.61,3.36,-12.33,
5-Year Average,,,,23.56,32.82,10.1,16.27,10.76,17.17,15.24,
10-Year Average,5.8,4.62,-2.09,-6.57,-5.57,,,,20.32,23.72,
