Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.14,1.89,6.78,8.15,5.69,11.59,5.97,6.04,6.42,7.23,5.67
3-Year Average,7.73,5.77,5.24,5.57,6.87,8.45,7.72,7.83,6.14,6.56,
5-Year Average,9.25,7.35,6.35,6.44,5.91,6.77,7.62,7.46,7.12,7.43,
10-Year Average,9.7,9.1,8.72,8.64,8.03,8.0,7.48,6.91,6.78,6.67,
