Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,137.91,49.85,-16.41,-0.15,-18.82,33.39,2.95,54.62,0.14,-98.95,
Free Cash Flow Growth % YOY,138.72,54.4,-15.9,-3.02,-25.65,37.14,7.13,62.7,-1.15,,
Cap Ex as a % of Sales,3.18,4.01,3.12,3.58,3.93,3.78,3.17,3.3,3.48,3.52,3.52
Free Cash Flow/Sales %,18.59,29.36,24.07,21.91,14.55,16.04,16.92,25.76,24.31,-3.25,-3.25
Free Cash Flow/Net Income,-0.81,-0.22,-6.44,2.49,-3.96,-0.34,24.75,5.29,2.08,-0.13,-0.13
