Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.35,5.71,3.58,7.03,34.7,-7.18,4.63,10.73,12.13,7.99,5.48
3-Year Average,6.45,8.47,7.47,5.43,14.3,10.2,9.37,2.45,9.11,10.27,
5-Year Average,7.83,6.63,5.73,7.19,12.34,7.94,7.72,9.17,10.19,5.42,
10-Year Average,12.66,10.36,9.8,9.52,10.2,7.89,7.17,7.43,8.68,8.83,
