Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,-746.0,,713.0,,,,,
Free Cash Flow Growth % YOY,,,,-651.0,,870.0,,,,,
Cap Ex as a % of Sales,0.6,0.28,0.45,0.31,0.51,0.45,0.38,0.22,0.33,0.7,0.47
Free Cash Flow/Sales %,3.62,4.94,4.46,3.41,3.65,3.61,2.35,3.59,5.0,3.33,2.12
Free Cash Flow/Net Income,0.82,1.18,0.94,0.82,0.87,0.69,0.72,1.08,1.32,0.85,0.64
