Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,59.37,,,,,,
Free Cash Flow/Sales %,,,,,-55.82,,,,,,
Free Cash Flow/Net Income,0.54,-1.4,1.15,0.25,3.19,0.38,0.18,1.1,0.71,0.71,1.01
