Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-44.2,-91.29,1108.16,22.64,39.94,-23.18,34.34,-49.93,73.33,64.67,
3-Year Average,-8.09,-62.14,-16.26,8.88,174.73,9.65,13.03,-19.75,5.25,12.64,
5-Year Average,6.27,-34.9,-3.96,-4.27,0.16,6.77,84.53,-2.37,4.62,8.08,
10-Year Average,8.38,-17.0,5.57,9.53,11.09,6.52,9.61,-3.17,0.08,4.04,
