Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,36.03,37.28,79.73,31.43,26.09,21.63,15.1
Net Margin %,,,,,10.79,10.88,1.48,8.27,7.44,10.24,14.37
Asset Turnover (Average),,,,,,1.02,1.06,1.06,0.96,0.99,0.99
Return on Assets %,,,,,,11.09,1.56,8.77,7.16,10.11,14.24
Financial Leverage (Average),,,,,,1.48,,,89.27,19.84,6.66
Return on Equity %,,,,,,16.39,4.93,,,329.88,130.44
Return on Invested Capital %,,,,,,16.39,2.89,,13.56,17.66,22.89
Interest Coverage,,,,,259.71,245.47,22.42,5.98,4.96,5.59,7.1
