Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-25.52,-50.83,-31.06,18.52,-5.13,13.56,20.82,-13.2,-4.34,-10.12,9.54
3-Year Average,-10.39,-29.24,-36.8,-26.21,-8.14,8.49,9.19,6.0,0.11,-9.29,
5-Year Average,-2.51,-16.6,-24.59,-21.96,-22.26,-15.42,1.24,6.02,1.57,0.47,
10-Year Average,3.82,-2.9,-7.66,-8.53,-8.15,-9.2,-8.11,-10.59,-10.97,-11.62,
