Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,33.07,3604.78,6.45,-23.23,47.81,0.89,-23.53,
3-Year Average,,,,,,274.39,211.67,6.5,4.61,4.48,
5-Year Average,,,,,,,,126.45,114.25,-1.4,
10-Year Average,,,,,,,,,,,
