Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.86,-2.74,-21.53,11.41,51.64,17.71,12.41,-12.71,15.53,-9.74,-23.84
3-Year Average,7.47,4.28,-3.74,-5.26,9.85,25.75,26.13,4.92,4.27,-3.09,
5-Year Average,9.19,7.8,-1.08,-0.18,8.54,8.7,11.9,14.3,15.14,3.79,
10-Year Average,4.77,3.08,1.22,4.87,13.62,8.95,9.83,6.34,7.21,6.14,
