Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,11.85,4.03,2.51,6.02,6.4
Free Cash Flow/Sales %,,,,,,,183.86,-54.66,139.14,5.65,6.01
Free Cash Flow/Net Income,,,,,,,7.14,-2.18,4.24,0.14,0.15
