Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,0.01,
Return on Assets %,,,,,,,,,,-54.36,-28.43
Financial Leverage (Average),,,,,,,,,,1.08,1.06
Return on Equity %,,,,,,,,,,-100.94,-30.06
Return on Invested Capital %,,,,,,,,,,-101.31,-30.13
Interest Coverage,,,,,,,,-7.11,-12.12,,
