Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,67.06,55.49,51.7,49.72,52.09,54.11,53.61,55.8,55.58,56.49,56.2
Days Inventory,,,,,,,,,,,
Payables Period,28.45,17.12,15.72,14.99,66.62,65.57,10.78,8.11,8.47,11.35,9.47
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,5.44,6.58,7.06,7.34,7.01,6.74,6.81,6.54,6.57,6.46,6.49
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,12.65,14.04,13.68,14.76,16.52,17.68,18.7,17.38,14.74,13.75,14.24
Asset Turnover,0.43,0.45,0.46,0.5,0.52,0.53,0.53,0.54,0.56,0.57,0.57
