Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,818.0,874.0,1135.0,1236.0,1213.0,1349.0,1434.0,1548.0,1552.0,1603.0,1603.0
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,246.0,119.0,350.0,425.0,326.0,488.0,537.0,590.0,606.0,628.0,628.0
Operating Margin %,30.1,13.7,30.9,34.3,26.9,36.1,37.4,38.1,39.1,39.2,39.2
Net Income AUD Mil,171.0,83.0,242.0,342.0,195.0,352.0,372.0,423.0,416.0,430.0,430.0
Earnings Per Share AUD,0.74,0.25,0.63,0.86,0.47,0.78,0.83,0.87,0.81,0.82,0.82
Dividends AUD,0.88,0.92,0.61,0.86,0.86,0.86,0.89,0.94,0.96,0.97,0.97
Payout Ratio % *,118.5,362.7,97.6,99.2,99.2,179.6,110.0,106.0,108.0,117.7,117.2
Shares Mil,218.0,293.0,374.0,386.0,391.0,444.0,439.0,482.0,511.0,518.0,518.0
Book Value Per Share * AUD,11.09,9.4,9.81,10.27,9.38,9.78,9.39,10.48,10.66,10.67,11.21
Operating Cash Flow AUD Mil,158.0,127.0,353.0,488.0,200.0,424.0,395.0,548.0,292.0,58.0,58.0
Cap Spending AUD Mil,-86.0,-56.0,-18.0,-19.0,-28.0,-9.0,-53.0,-68.0,-15.0,-13.0,-13.0
Free Cash Flow AUD Mil,72.0,70.0,335.0,469.0,172.0,413.0,342.0,481.0,277.0,46.0,46.0
Free Cash Flow Per Share * AUD,0.33,0.24,0.9,1.22,1.22,0.44,0.93,0.78,1.0,0.54,
Working Capital AUD Mil,,,,,,,,,,,
