Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,10.02,11.55,5.37,2.23,6.23,14.52,12.16,8.75
3-Year Average,,,,,,8.95,6.31,4.59,7.54,10.91,
5-Year Average,,,,,,,,7.03,7.89,8.01,
10-Year Average,,,,,,,,,,,
