Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.86,-5.49,-78.89,76.5,92.77,5.61,4.2,16.79,14.57,-49.23,18.09
3-Year Average,14.28,2.27,-38.45,-29.38,-10.45,53.17,28.49,8.73,11.72,-12.09,
5-Year Average,25.24,17.87,-21.52,-16.81,-4.53,-6.44,-4.6,34.33,23.2,-5.65,
10-Year Average,14.93,11.09,-7.59,-0.7,12.94,8.24,6.04,2.68,1.24,-5.09,
