Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-4.18,,,,545.06,-0.33,30.58,33.46,9.92,-42.63,
3-Year Average,42.65,,,-60.44,,,103.24,20.2,24.19,-5.59,
5-Year Average,124.64,,,-38.18,-17.48,-16.83,,,65.23,1.84,
10-Year Average,49.15,,,-0.46,14.0,36.69,15.91,7.25,1.06,-8.33,
