Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,36.33,78.22,35.74,36.11,35.13,34.23,34.08,33.1,31.53,31.41,31.34
Gross Margin,63.67,21.78,64.26,63.89,64.87,65.77,65.92,66.9,68.47,68.59,68.66
SG&A,7.82,7.99,6.94,8.62,7.58,6.11,5.57,5.84,6.67,5.18,5.09
R&D,,,,,,,,,,,
Other,71.28,25.37,71.28,77.41,53.69,50.27,44.95,45.56,43.96,45.22,44.67
Operating Margin,-15.43,-11.58,-13.97,-22.14,3.6,9.39,15.41,15.5,17.84,18.19,18.9
Net Int Inc & Other,15.12,2.68,-3.32,-0.8,-24.86,-20.07,-16.06,-15.35,-6.48,-7.17,-7.54
EBT Margin,-0.31,-8.91,-17.29,-22.94,-21.26,-10.69,-0.65,0.14,11.36,11.02,11.35
