Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,43.33,45.93,47.5,42.65,43.0,41.83,40.76,40.18,36.72,34.75,34.45
Gross Margin,56.67,54.07,52.5,57.35,57.0,58.17,59.24,59.82,63.28,65.25,65.55
SG&A,26.69,23.9,22.21,20.35,20.2,19.23,18.64,18.41,18.28,19.81,19.32
R&D,,,,,,,,,,,
Other,9.19,9.1,12.27,10.19,7.65,6.96,9.42,10.02,11.77,10.38,10.75
Operating Margin,20.79,21.07,18.02,26.81,29.15,31.98,31.17,31.4,33.23,35.07,35.49
Net Int Inc & Other,-8.1,-7.64,-11.12,-10.87,-7.46,-4.44,-7.89,-3.73,-5.42,-6.67,-1.9
EBT Margin,12.7,13.43,6.9,15.94,21.68,27.54,23.28,27.67,27.81,28.39,33.59
