Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,67.0,,,-41.0,494.0,
Free Cash Flow Growth % YOY,,,,,,67.0,,,-41.0,494.0,
Cap Ex as a % of Sales,,,,,,,,,,,
Free Cash Flow/Sales %,17.87,18.79,17.44,19.52,14.05,13.49,19.47,23.13,23.05,23.7,22.92
Free Cash Flow/Net Income,1.02,-35.34,0.97,1.5,-8.19,0.8,0.87,1.1,1.34,1.38,5.36
