Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,46.02,52.62,47.11,45.44,47.38,47.58,47.81,50.41,49.78,57.81,57.81
Gross Margin,53.98,47.38,52.89,54.35,52.62,52.42,52.19,49.59,50.22,42.19,42.19
SG&A,,,,,,,,,9.35,8.08,8.08
R&D,,,,,,,,,,,
Other,46.96,43.24,46.92,48.33,47.28,47.25,49.7,49.22,48.98,37.49,37.49
Operating Margin,8.19,5.52,6.38,6.12,5.88,5.32,3.1,0.95,-7.3,0.95,0.95
Net Int Inc & Other,-0.46,-1.97,-1.59,-29.45,-0.81,-0.67,-0.68,-0.78,-0.87,-0.76,-0.76
EBT Margin,7.73,3.55,4.79,-23.33,5.06,4.65,2.42,0.17,-8.18,0.19,0.19
