Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,19.46,-29.76,32.19,8.06,-39.97,71.15,25.87,27.19,-16.36,23.49,
Free Cash Flow Growth % YOY,21.42,-45.57,66.26,-7.11,-70.44,220.18,38.32,37.24,-11.37,22.99,
Cap Ex as a % of Sales,2.88,3.57,2.87,4.05,4.57,4.47,4.54,4.64,3.34,4.06,4.04
Free Cash Flow/Sales %,10.91,5.66,9.66,7.96,2.21,7.01,9.26,12.15,11.0,13.12,7.85
Free Cash Flow/Net Income,1.01,0.59,1.15,0.79,0.23,0.78,0.77,0.91,0.79,1.01,0.62
