Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.62,6.27,-0.36,1.06,14.39,14.27,12.93,57.94,23.22,8.34,4.62
3-Year Average,11.08,8.05,5.73,2.28,4.82,9.72,13.86,26.79,30.02,28.23,
5-Year Average,14.19,11.98,7.73,4.9,6.44,6.94,8.25,18.7,23.5,22.16,
10-Year Average,16.47,12.67,10.91,8.81,8.75,10.51,10.1,13.08,13.82,14.03,
