Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-1.0,-1.0,-1.0,-5.0,-6.0,-4.0,-2.0,-2.0,-1.0,-2.0,-2.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-1.0,-1.0,-1.0,-5.0,-6.0,-3.0,-1.0,-2.0,-1.0,-2.0,-2.0
Earnings Per Share AUD,-0.03,-0.03,-0.04,-0.13,-0.13,-0.06,-0.03,-0.03,-0.02,-0.03,-0.03
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,25.0,27.0,29.0,34.0,44.0,51.0,51.0,55.0,58.0,68.0,68.0
Book Value Per Share * AUD,0.05,0.07,0.18,0.22,0.17,0.13,0.06,0.04,0.03,0.03,0.02
Operating Cash Flow AUD Mil,-1.0,-1.0,0.0,-3.0,-6.0,-3.0,-1.0,-1.0,-1.0,-2.0,-2.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,-1.0,-1.0,0.0,-4.0,-7.0,-3.0,-1.0,-1.0,-1.0,-2.0,-2.0
Free Cash Flow Per Share * AUD,-0.04,-0.03,0.01,-0.12,-0.12,-0.15,-0.05,-0.02,-0.02,-0.02,
Working Capital AUD Mil,1.0,1.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,
