Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-52.14,99.35,-38.34,-21.05,-1.8,-30.24,21.64
3-Year Average,,,,,,,-16.21,-0.99,-21.81,-18.52,
5-Year Average,,,,-13.57,-24.44,,,,-14.53,-7.84,
10-Year Average,,,,-6.34,-13.93,-3.39,-8.68,-11.59,-14.05,-16.55,
