Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,0.0,0.0,,,,,,,0.0,0.0
Gross Margin %,,81.8,17.1,,,,,,,,
Operating Income AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0,-2.0,-0.0,-7.0,-0.0,-0.0
Operating Margin %,,-52.6,-174.4,,,,,,,,
Net Income AUD Mil,-0.0,0.0,-0.0,-0.0,10.0,-1.0,-1.0,-0.0,-7.0,-0.0,-0.0
Earnings Per Share AUD,-0.01,,,-0.01,0.55,-0.07,-0.04,,-0.38,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Book Value Per Share * AUD,0.27,0.27,0.26,0.25,0.25,0.73,0.69,0.69,,,0.28
Operating Cash Flow AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-10.0,-0.0,-0.0,-0.0,-0.0
Cap Spending AUD Mil,-1.0,-0.0,,,-0.0,,,,,,
Free Cash Flow AUD Mil,-1.0,-0.0,-0.0,-0.0,-0.0,0.0,-10.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow Per Share * AUD,-0.05,,-0.02,-0.02,-0.02,0.02,-0.38,-0.12,,,
Working Capital AUD Mil,1.0,1.0,1.0,0.0,12.0,8.0,6.0,5.0,5.0,5.0,
