Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,343.26,-25.96,41.81,38.84,15.5,6.85,7.36,13.31,3.59
3-Year Average,,-28.84,48.49,,66.96,13.39,31.5,19.66,9.83,9.13,
5-Year Average,,,18.95,3.41,28.01,,49.48,12.46,21.14,15.82,
10-Year Average,,,,,,,,15.66,11.92,21.77,
