Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-4.55,43.72,-20.78,73.38,19.19,-15.27,-9.12,-60.45,53.7
3-Year Average,,13.24,19.31,,2.81,25.44,17.86,20.53,-2.82,-32.72,
5-Year Average,,3.89,16.71,14.78,14.1,,17.56,14.8,4.74,-8.85,
10-Year Average,,,,,,,10.51,15.75,9.64,1.98,
