Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-32.41,-17.63,-9.6,-78.1,581.82,18.81,24.69,24.0,0.24,2.57,
3-Year Average,6.96,-12.17,-20.45,-45.36,10.52,21.06,116.17,22.47,15.73,8.44,
5-Year Average,11.32,2.13,-1.84,-33.09,-5.55,5.73,14.87,22.36,65.87,13.56,
10-Year Average,4.82,1.78,-4.59,-13.78,7.75,8.49,8.31,9.6,5.35,3.57,
