Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,285.8,4.52,209.08,77.3,35.79,43.19,-16.31,
Free Cash Flow Growth % YOY,,,,,-48.35,735.59,84.67,12.96,79.45,1.17,
Cap Ex as a % of Sales,,,6.33,7.2,6.77,5.95,6.45,8.82,8.08,3.79,2.73
Free Cash Flow/Sales %,,,-0.71,6.53,2.08,10.38,12.63,10.81,17.99,19.09,19.62
Free Cash Flow/Net Income,,,-0.09,0.72,0.18,0.57,0.63,0.54,1.01,1.55,1.55
