Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,74.61,90.02,106.64,92.72,93.36,95.86,98.13,89.63,92.1,102.09,94.08
Gross Margin,25.39,9.98,-6.64,7.28,6.64,4.14,1.87,10.37,7.9,-2.09,5.92
SG&A,5.75,6.43,8.8,8.63,8.45,8.46,8.33,8.31,7.85,9.01,8.11
R&D,,,,,,,,,,,
Other,,5.73,11.51,,1.12,9.72,7.25,-0.49,-2.84,3.31,2.59
Operating Margin,19.64,-2.18,-26.95,-1.35,-2.92,-14.03,-12.59,2.79,3.95,-13.13,-3.08
Net Int Inc & Other,-2.05,-1.72,0.73,4.53,-2.06,0.32,,,,,
EBT Margin,17.58,-3.9,-26.22,3.18,-4.98,-13.71,-12.59,2.79,3.95,-13.13,-3.08
