Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,15.95,-6.68,33.55,32.38,10.55,14.24,27.87,42.2,0.94,11.02,17.86
3-Year Average,2.77,1.23,13.06,18.16,25.03,18.69,17.32,27.59,22.44,16.8,
5-Year Average,6.84,0.47,6.23,12.89,16.16,15.82,23.35,24.9,18.31,18.41,
10-Year Average,22.35,16.71,15.54,28.95,13.11,11.24,11.32,15.19,15.57,17.28,
