Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,17.98,2.64,23.24,31.43,19.68,29.66,-1.76,21.72,11.86,21.96,
Free Cash Flow Growth % YOY,-39.05,310.13,26.55,108.57,28.8,18.91,-72.24,239.92,-21.05,28.3,
Cap Ex as a % of Sales,16.47,10.88,13.25,10.49,9.46,11.5,20.07,13.75,14.65,16.09,13.69
Free Cash Flow/Sales %,1.59,5.93,7.52,14.18,15.34,15.08,3.83,11.14,6.76,8.01,10.03
Free Cash Flow/Net Income,0.19,0.53,0.65,1.11,1.1,1.01,0.28,0.72,0.55,0.6,0.75
