Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.86,-30.31,-18.3,126.72,-33.72,-34.06,43.54,39.37,8.28,12.28,28.17
3-Year Average,16.58,-4.42,-16.07,8.88,7.08,-0.3,-14.39,9.67,29.39,19.22,
5-Year Average,64.76,20.36,-2.04,10.09,-2.33,-10.82,3.05,14.67,-1.09,9.91,
10-Year Average,18.98,19.84,1.62,6.8,,21.22,11.37,5.99,4.35,3.61,
