Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,83.0,84.0,84.0,107.0,136.0,145.0,117.0,131.0,123.0,129.0,129.0
Gross Margin %,90.8,87.9,89.4,89.1,14.8,15.9,85.7,79.0,79.8,79.3,79.3
Operating Income AUD Mil,15.0,6.0,-9.0,6.0,14.0,15.0,2.0,-24.0,-3.0,-4.0,-4.0
Operating Margin %,18.6,6.8,-10.3,5.7,10.0,10.5,2.1,-18.3,-2.3,-3.2,-3.2
Net Income AUD Mil,10.0,2.0,-10.0,4.0,10.0,11.0,2.0,-18.0,-3.0,-4.0,-4.0
Earnings Per Share AUD,0.07,0.01,-0.05,0.02,0.04,0.05,0.01,-0.08,-0.01,-0.02,-0.02
Dividends AUD,,,,,0.01,0.02,0.01,0.01,,0.01,0.01
Payout Ratio % *,,,,,,32.1,70.3,58.3,,,
Shares Mil,147.0,153.0,203.0,237.0,237.0,233.0,219.0,217.0,216.0,213.0,213.0
Book Value Per Share * AUD,0.44,0.64,0.5,0.52,0.55,0.49,0.49,0.5,0.42,0.37,0.36
Operating Cash Flow AUD Mil,11.0,13.0,13.0,19.0,28.0,36.0,11.0,14.0,18.0,16.0,16.0
Cap Spending AUD Mil,-53.0,-55.0,-22.0,-10.0,-24.0,-23.0,-19.0,-16.0,-14.0,-18.0,-18.0
Free Cash Flow AUD Mil,-42.0,-42.0,-9.0,8.0,5.0,14.0,-7.0,-2.0,4.0,-2.0,-2.0
Free Cash Flow Per Share * AUD,-0.28,-0.28,-0.05,0.03,0.02,0.05,0.03,-0.03,0.01,0.02,
Working Capital AUD Mil,28.0,9.0,17.0,20.0,32.0,33.0,23.0,24.0,20.0,16.0,
