Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,122.53,109.86,62.65,67.11,77.8,30.8,31.84,27.4,6.04,-10.82,152.25
3-Year Average,65.51,100.56,96.57,78.67,69.07,57.22,45.28,30.0,21.22,6.41,
5-Year Average,,104.88,72.96,85.44,86.51,67.7,52.82,45.53,32.87,15.75,
10-Year Average,,,,,,,76.95,58.65,56.97,46.93,
