Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,-88.19,511.69,,,24.76,,,,,
Free Cash Flow Growth % YOY,,,,,,653.57,,,,,
Cap Ex as a % of Sales,14.31,17.98,13.19,7.39,4.65,4.44,4.93,5.37,2.0,8.82,8.82
Free Cash Flow/Sales %,1.3,-15.95,-2.67,-23.29,0.33,2.95,-5.26,16.48,-20.33,-5.34,-5.34
Free Cash Flow/Net Income,0.49,0.96,0.22,0.51,-0.16,-0.37,6.55,-1.41,0.43,-0.45,-0.45
