Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,43.83,-5.03,-38.94,32.65,13.08,9.86,-23.22,-3.23,-27.92,39.88,225.0
3-Year Average,38.04,25.22,-5.87,-8.37,-2.89,18.12,-1.56,-6.54,-18.79,-0.81,
5-Year Average,24.39,23.33,8.81,9.72,4.58,-0.9,-5.03,4.13,-7.82,-3.82,
10-Year Average,20.58,17.92,15.05,12.44,11.5,11.03,8.23,6.45,0.57,0.29,
